Gene,log2FC,Pvalue,Padj
AB042555,1.0731000000000002,0.001388570720448152,30.02784182969129
ABAT,1.7027166666666673,0.0001696506674071222,3.6686956826790174
ABCA12,1.05356,8.95181273405566e-05,1.9358295037395366
ABCC2,1.3637666666666668,3.0190143764771498e-05,0.6528618589131836
ABHD1,1.1672800000000016,0.00032183940467448054,6.959777126085641
ABHD4,1.169316666666667,1.8387848239177684e-05,0.3976372181722174
ACSF2,1.5171899999999994,6.184622640706723e-06,0.13374246460528288
ACYP2,1.4146599999999996,0.0018885026293864215,40.83886936048136
ADAMTS15,2.3967533333333346,2.4769614075596927e-05,0.5356429043847836
ADD3,1.396166666666666,4.2105733897750735e-05,0.9105364955388596
ADHFE1,2.5086399999999998,2.199290243876034e-05,0.47559651523819235
AF267860,1.052226666666666,0.0004875206689715001,10.54263446650869
AGBL2,1.3259300000000005,0.0016296533898174615,35.24125455480261
AHCYL2,1.03721,4.4632972312596535e-05,0.9651880262599001
AHNAK2,2.272823333333334,1.0086604521661661e-05,0.21812282278093342
AIF1L,1.0048200000000005,0.0010809456073072542,23.375448758019374
AIG1,1.0012599999999976,0.0005733235205602113,12.39812113211457
AK021447,1.3035733333333344,5.128440158954199e-05,1.1090251843738455
AK098835,1.7944033333333334,0.0022214534973800126,48.038931880842775
AK124122,1.1438733333333344,0.0014552364247382309,31.469487684964243
AK131306,1.181659999999999,5.592043861863586e-05,1.2092794851280004
AK291625,1.5695799999999993,3.9422414834096615e-06,0.08525097207873393
AK296157,1.1193666666666662,2.944392044378597e-05,0.6367247795968717
AK308857,1.1513333333333318,1.1089334443131382e-05,0.23980685733271614
AK309229,1.1311300000000024,8.919301259391036e-05,1.9287988973433114
AK314133,1.730716666666667,0.0014024074141116589,30.327060330164624
AKAP6,1.908573333333334,3.484978147976335e-05,0.7536265244998824
ALCAM,1.4252000000000002,2.5803821086552585e-06,0.05580076309966996
ALDH3B1,1.5312433333333342,0.0001050496397387327,2.2716984593500946
ALDH6A1,1.2219283333333326,0.0004830415800594021,10.44577416878457
ALPK1,1.4957733333333314,7.370865624602395e-05,1.5939496913202678
ALPP,1.0316366666666665,0.012501881514577045,270.3531877527286
ANGPTL7,3.149676666666669,0.00013135768608854093,2.840609961664698
ANK2,1.1593433333333332,2.0471033484266826e-05,0.44268609909727014
