Gene,log2FC,Pvalue,Padj
A11,0.2989688888888873,0.25460398909735193,5505.811264230236
A12,0.8706633333333329,0.014998680042507265,324.34645591921964
A19,0.1997666666666662,0.007873788494147452,170.27067618593864
A1BG,0.07246666666666624,0.6931360445420838,14989.066963222562
A1CF,-0.04899999999999949,0.4168221358625046,9013.778688026661
A2M,0.29593666666666785,0.11096656230792505,2399.651909908879
A2ML1,-0.12262999999999913,0.17445169633109314,3772.5179331598893
A3GALT2,-0.3733299999999993,0.025832268604665826,558.6228085758985
A4GALT,-0.40371000000000024,0.029026782928433498,627.7041808273744
A4GNT,-0.16468333333333351,0.19101394788925008,4130.676623105033
AAAS,-0.29693333333333527,0.0018882657642129096,40.83374715110417
AACS,0.01783666666666761,0.6445011295260871,13937.336926001633
AADAC,-0.023483333333333523,0.6831310267776505,14772.708454066691
AADACL2,0.02534333333333283,0.804585374820181,17399.158730486415
AADACL3,0.011283333333332202,0.9364241874713675,20250.17305406832
AADACL4,0.04565333333333221,0.1966362030508965,4252.257890975637
AADAT,-0.6831666666666649,0.0016024365312535755,34.65268998835857
AAED1,0.3437000000000001,0.0007741146851260506,16.740230065850845
AAGAB,-0.09834333333333412,0.4690068929337024,10142.274059691314
AAK1,0.23684333333333463,0.011829902905238913,255.8216503257915
AAMDC,0.6640733333333326,9.717267484383356e-05,2.101359093497901
AAMP,-0.2966333333333342,0.02121583445964421,458.7924201898061
AANAT,-0.07028666666666616,0.35717840547828,7723.983018467805
AAR2,-0.12703333333333333,0.05458969495034601,1180.5021533012325
AARD,-0.4485266666666661,0.007733120984291493,167.22874128530356
AARS,0.028666666666666174,0.6378732099228572,13794.008164581788
AARS2,-0.3916633333333328,0.004418323198926138,95.54623917677773
AASDH,0.6174299999999988,0.0012888177854420352,27.87068461018401
AASDHPPT,-0.3088000000000015,0.006524662578972223,141.09582827027432
AASS,0.49770333333333205,0.0023459443373127545,50.731046294388314
AATF,-0.4261999999999997,0.006152261354225288,133.04265178512185
AATK,-0.13280666666666718,0.18405211985068745,3980.1270917711163
AB014731,-0.2712266666666654,0.07282803882354026,1574.906339559058
AB014771,0.011796666666666233,0.8824146904427469,19082.2176808244
